codigo,nombre,departamento
05002,ABEJORRAL,Antioquia
54003,ABREGO,Norte de Santander
05004,ABRIAQUÍ,Antioquia
50006,ACACÍAS,Meta
27006,ACANDÍ,Chocó
41006,ACEVEDO,Huila
13006,ACHÍ,Bolívar
41013,AGRADO,Huila
25001,AGUA DE DIOS,Cundinamarca
20011,AGUACHICA,Cesar
68013,AGUADA,Santander
17013,AGUADAS,Caldas
85010,AGUAZUL,Casanare
20013,AGUSTÍN CODAZZI,Cesar
41016,AIPE,Huila
25019,ALBÁN,Cundinamarca
52019,ALBÁN,Nariño
18029,ALBANIA,Caquetá
44035,ALBANIA,La Guajira
68020,ALBANIA,Santander
76020,ALCALÁ,Valle del Cauca
52022,ALDANA,Nariño
05021,ALEJANDRÍA,Antioquia
47030,ALGARROBO,Magdalena
41020,ALGECIRAS,Huila
19022,ALMAGUER,Cauca
15022,ALMEIDA,Boyacá
73024,ALPUJARRA,Tolima
41026,ALTAMIRA,Huila
27025,ALTO BAUDO,Chocó
13030,ALTOS DEL ROSARIO,Bolívar
73026,ALVARADO,Tolima
05030,AMAGÁ,Antioquia
05031,AMALFI,Antioquia
73030,AMBALEMA,Tolima
25035,ANAPOIMA,Cundinamarca
52036,ANCUYÁ,Nariño
76036,ANDALUCÍA,Valle del Cauca
05034,ANDES,Antioquia
05036,ANGELÓPOLIS,Antioquia
05038,ANGOSTURA,Antioquia
25040,ANOLAIMA,Cundinamarca
05040,ANORÍ,Antioquia
17042,ANSERMA,Caldas
76041,ANSERMANUEVO,Valle del Cauca
05044,ANZA,Antioquia
73043,ANZOÁTEGUI,Tolima
05045,APARTADÓ,Antioquia
66045,APÍA,Risaralda
25599,APULO,Cundinamarca
15047,AQUITANIA,Boyacá
47053,ARACATACA,Magdalena
17050,ARANZAZU,Caldas
68051,ARATOCA,Santander
81001,ARAUCA,Arauca
81065,ARAUQUITA,Arauca
25053,ARBELÁEZ,Cundinamarca
52051,ARBOLEDA,Nariño
54051,ARBOLEDAS,Norte de Santander
05051,ARBOLETES,Antioquia
15051,ARCABUCO,Boyacá
13042,ARENAL,Bolívar
05055,ARGELIA,Antioquia
19050,ARGELIA,Cauca
76054,ARGELIA,Valle del Cauca
47058,ARIGUANÍ,Magdalena
13052,ARJONA,Bolívar
05059,ARMENIA,Antioquia
63001,ARMENIA,Quindio
73055,ARMERO,Tolima
13062,ARROYOHONDO,Bolívar
20032,ASTREA,Cesar
73067,ATACO,Tolima
27050,ATRATO,Chocó
23068,AYAPEL,Córdoba
27073,BAGADÓ,Chocó
27075,BAHÍA SOLANO,Chocó
27077,BAJO BAUDÓ,Chocó
19075,BALBOA,Cauca
66075,BALBOA,Risaralda
08078,BARANOA,Atlántico
41078,BARAYA,Huila
52079,BARBACOAS,Nariño
05079,BARBOSA,Antioquia
68077,BARBOSA,Santander
68079,BARICHARA,Santander
50110,BARRANCA DE UPÍA,Meta
68081,BARRANCABERMEJA,Santander
44078,BARRANCAS,La Guajira
13074,BARRANCO DE LOBA,Bolívar
94343,BARRANCO MINAS,Guainía
08001,BARRANQUILLA,Atlántico
20045,BECERRIL,Cesar
17088,BELALCÁZAR,Caldas
15087,BELÉN,Boyacá
52083,BELÉN,Nariño
27086,BELÉN DE BAJIRÁ,Chocó
18094,BELÉN DE LOS ANDAQUIES,Caquetá
66088,BELÉN DE UMBRÍA,Risaralda
05088,BELLO,Antioquia
05086,BELMIRA,Antioquia
25086,BELTRÁN,Cundinamarca
15090,BERBEO,Boyacá
05091,BETANIA,Antioquia
15092,BETÉITIVA,Boyacá
05093,BETULIA,Antioquia
68092,BETULIA,Santander
25095,BITUIMA,Cundinamarca
15097,BOAVITA,Boyacá
54099,BOCHALEMA,Norte de Santander
11001,BOGOTÁ,Bogotá D.C
25099,BOJACÁ,Cundinamarca
27099,BOJAYA,Chocó
19100,BOLÍVAR,Cauca
68101,BOLÍVAR,Santander
76100,BOLÍVAR,Valle del Cauca
20060,BOSCONIA,Cesar
15104,BOYACÁ,Boyacá
05107,BRICEÑO,Antioquia
15106,BRICEÑO,Boyacá
68001,BUCARAMANGA,Santander
54109,BUCARASICA,Norte de Santander
76109,BUENAVENTURA,Valle del Cauca
15109,BUENAVISTA,Boyacá
23079,BUENAVISTA,Córdoba
63111,BUENAVISTA,Quindio
70110,BUENAVISTA,Sucre
19110,BUENOS AIRES,Cauca
52110,BUESACO,Nariño
76113,BUGALAGRANDE,Valle del Cauca
05113,BURITICÁ,Antioquia
15114,BUSBANZÁ,Boyacá
25120,CABRERA,Cundinamarca
68121,CABRERA,Santander
50124,CABUYARO,Meta
94886,CACAHUAL,Guainía
05120,CÁCERES,Antioquia
25123,CACHIPAY,Cundinamarca
54128,CACHIRÁ,Norte de Santander
54125,CÁCOTA,Norte de Santander
05125,CAICEDO,Antioquia
76122,CAICEDONIA,Valle del Cauca
70124,CAIMITO,Sucre
73124,CAJAMARCA,Tolima
19130,CAJIBÍO,Cauca
25126,CAJICÁ,Cundinamarca
13140,CALAMAR,Bolívar
95015,CALAMAR,Guaviare
63130,CALARCA,Quindio
05129,CALDAS,Antioquia
15131,CALDAS,Boyacá
19137,CALDONO,Cauca
76001,CALI,Valle del Cauca
68132,CALIFORNIA,Santander
76126,CALIMA,Valle del Cauca
19142,CALOTO,Cauca
05134,CAMPAMENTO,Antioquia
08137,CAMPO DE LA CRUZ,Atlántico
41132,CAMPOALEGRE,Huila
15135,CAMPOHERMOSO,Boyacá
23090,CANALETE,Córdoba
08141,CANDELARIA,Atlántico
76130,CANDELARIA,Valle del Cauca
13160,CANTAGALLO,Bolívar
05138,CAÑASGORDAS,Antioquia
25148,CAPARRAPÍ,Cundinamarca
68147,CAPITANEJO,Santander
25151,CAQUEZA,Cundinamarca
05142,CARACOLÍ,Antioquia
05145,CARAMANTA,Antioquia
68152,CARCASÍ,Santander
05147,CAREPA,Antioquia
73148,CARMEN DE APICALÁ,Tolima
25154,CARMEN DE CARUPA,Cundinamarca
27150,CARMEN DEL DARIEN,Chocó
05150,CAROLINA,Antioquia
13001,CARTAGENA,Bolívar
18150,CARTAGENA DEL CHAIRÁ,Caquetá
76147,CARTAGO,Valle del Cauca
97161,CARURU,Vaupés
73152,CASABIANCA,Tolima
50150,CASTILLA LA NUEVA,Meta
05154,CAUCASIA,Antioquia
68160,CEPITÁ,Santander
23162,CERETÉ,Córdoba
15162,CERINZA,Boyacá
68162,CERRITO,Santander
47161,CERRO SAN ANTONIO,Magdalena
27160,CÉRTEGUI,Chocó
52240,CHACHAGÜÍ,Nariño
25168,CHAGUANÍ,Cundinamarca
70230,CHALÁN,Sucre
85015,CHAMEZA,Casanare
73168,CHAPARRAL,Tolima
68167,CHARALÁ,Santander
68169,CHARTA,Santander
25175,CHÍA,Cundinamarca
47170,CHIBOLO,Magdalena
05172,CHIGORODÓ,Antioquia
68176,CHIMA,Santander
23168,CHIMÁ,Córdoba
20175,CHIMICHAGUA,Cesar
54172,CHINÁCOTA,Norte de Santander
15172,CHINAVITA,Boyacá
17174,CHINCHINÁ,Caldas
23182,CHINÚ,Córdoba
25178,CHIPAQUE,Cundinamarca
68179,CHIPATÁ,Santander
15176,CHIQUINQUIRÁ,Boyacá
15232,CHÍQUIZA,Boyacá
20178,CHIRIGUANÁ,Cesar
15180,CHISCAS,Boyacá
15183,CHITA,Boyacá
54174,CHITAGÁ,Norte de Santander
15185,CHITARAQUE,Boyacá
15187,CHIVATÁ,Boyacá
15236,CHIVOR,Boyacá
25181,CHOACHÍ,Cundinamarca
25183,CHOCONTÁ,Cundinamarca
13188,CICUCO,Bolívar
47189,CIÉNAGA,Magdalena
23189,CIÉNAGA DE ORO,Córdoba
15189,CIÉNEGA,Boyacá
68190,CIMITARRA,Santander
63190,CIRCASIA,Quindio
05190,CISNEROS,Antioquia
05101,CIUDAD BOLÍVAR,Antioquia
13222,CLEMENCIA,Bolívar
05197,COCORNÁ,Antioquia
73200,COELLO,Tolima
25200,COGUA,Cundinamarca
41206,COLOMBIA,Huila
52203,COLÓN,Nariño
86219,COLÓN,Putumayo
70204,COLOSO,Sucre
15204,CÓMBITA,Boyacá
05206,CONCEPCIÓN,Antioquia
68207,CONCEPCIÓN,Santander
05209,CONCORDIA,Antioquia
47205,CONCORDIA,Magdalena
27205,CONDOTO,Chocó
68209,CONFINES,Santander
52207,CONSACA,Nariño
52210,CONTADERO,Nariño
68211,CONTRATACIÓN,Santander
54206,CONVENCIÓN,Norte de Santander
05212,COPACABANA,Antioquia
15212,COPER,Boyacá
13212,CÓRDOBA,Bolívar
52215,CÓRDOBA,Nariño
63212,CÓRDOBA,Quindio
19212,CORINTO,Cauca
68217,COROMORO,Santander
70215,COROZAL,Sucre
15215,CORRALES,Boyacá
25214,COTA,Cundinamarca
23300,COTORRA,Córdoba
15218,COVARACHÍA,Boyacá
70221,COVEÑAS,Sucre
73217,COYAIMA,Tolima
81220,CRAVO NORTE,Arauca
52224,CUASPUD,Nariño
15223,CUBARÁ,Boyacá
50223,CUBARRAL,Meta
15224,CUCAITA,Boyacá
25224,CUCUNUBÁ,Cundinamarca
54001,CÚCUTA,Norte de Santander
54223,CUCUTILLA,Norte de Santander
15226,CUÍTIVA,Boyacá
50226,CUMARAL,Meta
99773,CUMARIBO,Vichada
52227,CUMBAL,Nariño
52233,CUMBITARA,Nariño
73226,CUNDAY,Tolima
18205,CURILLO,Caquetá
68229,CURITÍ,Santander
20228,CURUMANÍ,Cesar
05234,DABEIBA,Antioquia
76233,DAGUA,Valle del Cauca
44090,DIBULLA,La Guajira
44098,DISTRACCIÓN,La Guajira
73236,DOLORES,Tolima
05237,DON MATÍAS,Antioquia
66170,DOSQUEBRADAS,Risaralda
15238,DUITAMA,Boyacá
54239,DURANIA,Norte de Santander
05240,EBÉJICO,Antioquia
76243,EL ÁGUILA,Valle del Cauca
05250,EL BAGRE,Antioquia
47245,EL BANCO,Magdalena
76246,EL CAIRO,Valle del Cauca
50245,EL CALVARIO,Meta
27135,EL CANTÓN DEL SAN PABLO,Chocó
54245,EL CARMEN,Norte de Santander
27245,EL CARMEN DE ATRATO,Chocó
13244,EL CARMEN DE BOLÍVAR,Bolívar
68235,EL CARMEN DE CHUCURÍ,Santander
05148,EL CARMEN DE VIBORAL,Antioquia
50251,EL CASTILLO,Meta
76248,EL CERRITO,Valle del Cauca
52250,EL CHARCO,Nariño
15244,EL COCUY,Boyacá
25245,EL COLEGIO,Cundinamarca
20238,EL COPEY,Cesar
18247,EL DONCELLO,Caquetá
50270,EL DORADO,Meta
76250,EL DOVIO,Valle del Cauca
91263,EL ENCANTO,Amazonas
15248,EL ESPINO,Boyacá
68245,EL GUACAMAYO,Santander
13248,EL GUAMO,Bolívar
27250,EL LITORAL DEL SAN JUAN,Chocó
44110,EL MOLINO,La Guajira
20250,EL PASO,Cesar
18256,EL PAUJIL,Caquetá
52254,EL PEÑOL,Nariño
13268,EL PEÑÓN,Bolívar
25258,EL PEÑÓN,Cundinamarca
68250,EL PEÑÓN,Santander
47258,EL PIÑON,Magdalena
68255,EL PLAYÓN,Santander
47268,EL RETÉN,Magdalena
95025,EL RETORNO,Guaviare
70233,EL ROBLE,Sucre
25260,EL ROSAL,Cundinamarca
52256,EL ROSARIO,Nariño
05697,EL SANTUARIO,Antioquia
52258,EL TABLÓN DE GÓMEZ,Nariño
19256,EL TAMBO,Cauca
52260,EL TAMBO,Nariño
54250,EL TARRA,Norte de Santander
54261,EL ZULIA,Norte de Santander
41244,ELÍAS,Huila
68264,ENCINO,Santander
68266,ENCISO,Santander
05264,ENTRERRIOS,Antioquia
05266,ENVIGADO,Antioquia
73268,ESPINAL,Tolima
25269,FACATATIVÁ,Cundinamarca
73270,FALAN,Tolima
17272,FILADELFIA,Caldas
63272,FILANDIA,Quindio
15272,FIRAVITOBA,Boyacá
73275,FLANDES,Tolima
18001,FLORENCIA,Caquetá
19290,FLORENCIA,Cauca
15276,FLORESTA,Boyacá
68271,FLORIÁN,Santander
76275,FLORIDA,Valle del Cauca
68276,FLORIDABLANCA,Santander
25279,FOMEQUE,Cundinamarca
44279,FONSECA,La Guajira
81300,FORTUL,Arauca
25281,FOSCA,Cundinamarca
52520,FRANCISCO PIZARRO,Nariño
05282,FREDONIA,Antioquia
73283,FRESNO,Tolima
05284,FRONTINO,Antioquia
50287,FUENTE DE ORO,Meta
47288,FUNDACIÓN,Magdalena
52287,FUNES,Nariño
25286,FUNZA,Cundinamarca
25288,FÚQUENE,Cundinamarca
25290,FUSAGASUGÁ,Cundinamarca
25293,GACHALA,Cundinamarca
25295,GACHANCIPÁ,Cundinamarca
15293,GACHANTIVÁ,Boyacá
25297,GACHETÁ,Cundinamarca
68296,GALÁN,Santander
08296,GALAPA,Atlántico
70235,GALERAS,Sucre
25299,GAMA,Cundinamarca
20295,GAMARRA,Cesar
68298,GAMBITA,Santander
15296,GAMEZA,Boyacá
15299,GARAGOA,Boyacá
41298,GARZÓN,Huila
63302,GÉNOVA,Quindio
41306,GIGANTE,Huila
76306,GINEBRA,Valle del Cauca
05306,GIRALDO,Antioquia
25307,GIRARDOT,Cundinamarca
05308,GIRARDOTA,Antioquia
68307,GIRÓN,Santander
05310,GÓMEZ PLATA,Antioquia
20310,GONZÁLEZ,Cesar
54313,GRAMALOTE,Norte de Santander
05313,GRANADA,Antioquia
25312,GRANADA,Cundinamarca
50313,GRANADA,Meta
68318,GUACA,Santander
15317,GUACAMAYAS,Boyacá
76318,GUACARÍ,Valle del Cauca
25317,GUACHETÁ,Cundinamarca
52317,GUACHUCAL,Nariño
76111,GUADALAJARA DE BUGA,Valle del Cauca
05315,GUADALUPE,Antioquia
41319,GUADALUPE,Huila
68320,GUADALUPE,Santander
25320,GUADUAS,Cundinamarca
52320,GUAITARILLA,Nariño
52323,GUALMATÁN,Nariño
47318,GUAMAL,Magdalena
50318,GUAMAL,Meta
73319,GUAMO,Tolima
19318,GUAPI,Cauca
68322,GUAPOTÁ,Santander
70265,GUARANDA,Sucre
05318,GUARNE,Antioquia
25322,GUASCA,Cundinamarca
05321,GUATAPE,Antioquia
25324,GUATAQUÍ,Cundinamarca
25326,GUATAVITA,Cundinamarca
15322,GUATEQUE,Boyacá
66318,GUÁTICA,Risaralda
68324,GUAVATÁ,Santander
25328,GUAYABAL DE SIQUIMA,Cundinamarca
25335,GUAYABETAL,Cundinamarca
15325,GUAYATÁ,Boyacá
68327,GÜEPSA,Santander
15332,GÜICÁN,Boyacá
25339,GUTIÉRREZ,Cundinamarca
54344,HACARÍ,Norte de Santander
13300,HATILLO DE LOBA,Bolívar
68344,HATO,Santander
85125,HATO COROZAL,Casanare
44378,HATONUEVO,La Guajira
05347,HELICONIA,Antioquia
54347,HERRÁN,Norte de Santander
73347,HERVEO,Tolima
05353,HISPANIA,Antioquia
41349,HOBO,Huila
73349,HONDA,Tolima
73001,IBAGUÉ,Tolima
73352,ICONONZO,Tolima
52352,ILES,Nariño
52354,IMUÉS,Nariño
94001,INÍRIDA,Guainía
19355,INZÁ,Cauca
52356,IPIALES,Nariño
41357,IQUIRA,Huila
41359,ISNOS,Huila
27361,ISTMINA,Chocó
05360,ITAGUI,Antioquia
05361,ITUANGO,Antioquia
15362,IZA,Boyacá
19364,JAMBALÓ,Cauca
76364,JAMUNDÍ,Valle del Cauca
05364,JARDÍN,Antioquia
15367,JENESANO,Boyacá
05368,JERICÓ,Antioquia
15368,JERICÓ,Boyacá
25368,JERUSALÉN,Cundinamarca
68368,JESÚS MARÍA,Santander
68370,JORDÁN,Santander
08372,JUAN DE ACOSTA,Atlántico
25372,JUNÍN,Cundinamarca
27372,JURADÓ,Chocó
23350,LA APARTADA,Córdoba
41378,LA ARGENTINA,Huila
68377,LA BELLEZA,Santander
25377,LA CALERA,Cundinamarca
15380,LA CAPILLA,Boyacá
05376,LA CEJA,Antioquia
66383,LA CELIA,Risaralda
91405,LA CHORRERA,Amazonas
52378,LA CRUZ,Nariño
76377,LA CUMBRE,Valle del Cauca
17380,LA DORADA,Caldas
54385,LA ESPERANZA,Norte de Santander
05380,LA ESTRELLA,Antioquia
52381,LA FLORIDA,Nariño
20383,LA GLORIA,Cesar
94885,LA GUADALUPE,Guainía
20400,LA JAGUA DE IBIRICO,Cesar
44420,LA JAGUA DEL PILAR,La Guajira
52385,LA LLANADA,Nariño
50350,LA MACARENA,Meta
17388,LA MERCED,Caldas
25386,LA MESA,Cundinamarca
18410,LA MONTAÑITA,Caquetá
25394,LA PALMA,Cundinamarca
20621,LA PAZ,Cesar
68397,LA PAZ,Santander
91407,LA PEDRERA,Amazonas
25398,LA PEÑA,Cundinamarca
05390,LA PINTADA,Antioquia
41396,LA PLATA,Huila
54398,LA PLAYA,Norte de Santander
99524,LA PRIMAVERA,Vichada
85136,LA SALINA,Casanare
19392,LA SIERRA,Cauca
63401,LA TEBAIDA,Quindio
52390,LA TOLA,Nariño
05400,LA UNIÓN,Antioquia
52399,LA UNIÓN,Nariño
70400,LA UNIÓN,Sucre
76400,LA UNIÓN,Valle del Cauca
15403,LA UVITA,Boyacá
19397,LA VEGA,Cauca
25402,LA VEGA,Cundinamarca
15401,LA VICTORIA,Boyacá
76403,LA VICTORIA,Valle del Cauca
91430,LA VICTORIA,Amazonas
66400,LA VIRGINIA,Risaralda
54377,LABATECA,Norte de Santander
15377,LABRANZAGRANDE,Boyacá
68385,LANDÁZURI,Santander
68406,LEBRÍJA,Santander
86573,LEGUÍZAMO,Putumayo
52405,LEIVA,Nariño
50400,LEJANÍAS,Meta
25407,LENGUAZAQUE,Cundinamarca
73408,LÉRIDA,Tolima
91001,LETICIA,Amazonas
73411,LÍBANO,Tolima
05411,LIBORINA,Antioquia
52411,LINARES,Nariño
27413,LLORÓ,Chocó
19418,LÓPEZ,Cauca
23417,LORICA,Córdoba
52418,LOS ANDES,Nariño
23419,LOS CÓRDOBAS,Córdoba
70418,LOS PALMITOS,Sucre
54405,LOS PATIOS,Norte de Santander
68418,LOS SANTOS,Santander
54418,LOURDES,Norte de Santander
08421,LURUACO,Atlántico
15425,MACANAL,Boyacá
68425,MACARAVITA,Santander
05425,MACEO,Antioquia
25426,MACHETA,Cundinamarca
25430,MADRID,Cundinamarca
13430,MAGANGUÉ,Bolívar
52427,MAGÜI,Nariño
13433,MAHATES,Bolívar
44430,MAICAO,La Guajira
70429,MAJAGUAL,Sucre
68432,MÁLAGA,Santander
08433,MALAMBO,Atlántico
52435,MALLAMA,Nariño
08436,MANATÍ,Atlántico
20443,MANAURE,Cesar
44560,MANAURE,La Guajira
85139,MANÍ,Casanare
17001,MANIZALES,Caldas
25436,MANTA,Cundinamarca
17433,MANZANARES,Caldas
50325,MAPIRIPÁN,Meta
94663,MAPIRIPANA,Guainía
13440,MARGARITA,Bolívar
13442,MARÍA LA BAJA,Bolívar
05440,MARINILLA,Antioquia
15442,MARIPÍ,Boyacá
73443,MARIQUITA,Tolima
17442,MARMATO,Caldas
17444,MARQUETALIA,Caldas
66440,MARSELA,Risaralda
17446,MARULANDA,Caldas
68444,MATANZA,Santander
05001,MEDELLÍN,Antioquia
25438,MEDINA,Cundinamarca
27425,MEDIO ATRATO,Chocó
27430,MEDIO BAUDÓ,Chocó
27450,MEDIO SAN JUAN,Chocó
73449,MELGAR,Tolima
